id,name,class_year,video_index,source_url,video_rights_approved,captions_approved,transcript_approved,video_kiosk_approved,media_notes
richard-a-ganim-2015,Richard A. Ganim,2015,2,https://www.youtube.com/embed/kofOH1CYKBQ?si=ccMZ9uCqNLvI7Sx3,,,,,
richard-fleischman-2019,Richard Fleischman,2019,1,https://www.youtube.com/embed/5BYSPErYD3o,,,,,
sam-kim-2017,Sam Kim,2017,1,https://www.youtube.com/embed/f78jlqAJnqM?si=7IVEls3LREGQBC-1,,,,,
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,1,https://www.youtube.com/embed/nC0wST9j-J0?si=B9tydYY-_9Gm08dq,,,,,
sheila-murphy-crawford-2018,Sheila Murphy Crawford,2018,2,https://www.youtube.com/embed/i-iB8SADV8Q?si=ZALvr6qgqKjZ0BAr,,,,,
shiv-k-aggarwal-2015,Shiv K. Aggarwal,2015,1,https://www.youtube.com/embed/tX9BPpgJ_3w?si=Pu88x5ad4N6fmtsh,,,,,
shiv-k-aggarwal-2015,Shiv K. Aggarwal,2015,2,https://www.youtube.com/embed/-2OMPdY2pfw?si=dr4MsFglOQBhgwZK,,,,,
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,1,https://www.youtube.com/embed/9e7DWWD6_l0?si=H5Sj9A15twCAyWKt,,,,,
sister-alicia-alvarado-2018,Sister Alicia Alvarado,2018,2,https://www.youtube.com/embed/soPrjwdQWfw?si=caCbSsvOYJsCu6_0,,,,,
sree-sreenath-2019,Sree Sreenath,2019,1,https://www.youtube.com/embed/IXo79dbDE_M,,,,,
steve-mulloy-2015,Steve Mulloy,2015,1,https://www.youtube.com/embed/nINk_D8bi54?si=EiSiOYeSn90OBbQ-,,,,,
steve-mulloy-2015,Steve Mulloy,2015,2,https://www.youtube.com/embed/GDfhVKV-PfY?si=4bPHWAZEkb8h915D,,,,,
sudarshan-sathe-2023,Sudarshan Sathe,2023,1,https://www.youtube.com/embed/q4nkyvZtzRU,,,,,
svetlana-stolyarova-2025,Svetlana Stolyarova,2025,1,https://www.youtube.com/embed/ZT80-BrCIyk?feature=oembed,,,,,
taras-szmagala-2022,Taras Szmagala,2022,1,https://www.youtube.com/embed/YPC3hutSgL8,,,,,
valarie-mccall-2020,Valarie McCall,2020,1,https://www.youtube.com/embed/tB2FCpsakkA,,,,,
veronica-dahlberg-2024,Veronica Dahlberg,2024,1,https://www.youtube.com/embed/P34omi5XUiY?feature=oembed,,,,,
victor-ruiz-2022,Victor Ruiz,2022,1,https://www.youtube.com/embed/b9-AD6gYt14,,,,,
wael-khoury-2017,Wael Khoury,2017,1,https://www.youtube.com/embed/OAZ7t2i1W10?si=Knj8H-KaXie39a2K,,,,,
